price,vin,stock,model,body,exterior,interior,engine,location
" $41,867",5TDHZRBH7LS011336,LS011336,6953,Sport Utility,Blue,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,635",5TFUY5F14LX888125,LX888125,8341,Double Cab,Black,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $41,746",5TDGZRBH8LS013799,LS013799,6953,Sport Utility,Black,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,392",5TFUY5F15LX929331,LX929331,8341,Double Cab,Black,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $41,867",5TDHZRBHXLS503102,LS503102,6953,Sport Utility,Black,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $41,613",5TFUY5F16LX915776,LX915776,8341,Double Cab,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $41,426",5TDGZRBH7LS017097,LS017097,6953,Sport Utility,White,Gray,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $43,919",3TMCZ5AN4LM336097,LM336097,7542,TRD Sport Double Cab 5' Bed V6 AT,Silver,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,356",5TDHZRBH3LS500090,LS500090,6953,Sport Utility,White,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $43,515",5TFDY5F10LX929110,LX929110,8361,CrewMax,Black,Black,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $43,598",3TMCZ5AN8LM332733,LM332733,7542,TRD Sport Double Cab 5' Bed V6 AT,Black,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $43,091",5TDDZ3DC3LS241338,LS241338,5377,Mini-Van,Gray,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $44,037",5TFDY5F10LX922383,LX922383,8361,CrewMax,White,Graphite,Regular Unleaded V-8 5.7 L/346,Baierl Toyota
" $43,340",3TMCZ5AN3LM336639,LM336639,7542,TRD Sport Double Cab 5' Bed V6 AT,Red,Black/Gun Metal,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $42,815",JTEBU5JR4L5799470,L5799470,8672,Sport Utility,Black,Black/Graphite,Regular Unleaded V-6 4.0 L/241,Baierl Toyota
